,Date_time,Compound,Negative,Neutral,News_outlet,Positive,Tweet,Tweet_number
590,2018-04-09 08:52:04+00:00,0.0,0.0,1.0,Washington Post,0.0,"Perspective: To compete with Japan’s cherry blossom bacchanal, D.C. needs to step up its game. Big time. https://t.co/mB4r7w3M0q",91
591,2018-04-09 08:50:02+00:00,0.0,0.0,1.0,Washington Post,0.0,Perspective: How the White House garden became a political football https://t.co/axC5RDOH3V,92
592,2018-04-09 08:46:04+00:00,0.0,0.0,1.0,Washington Post,0.0,How Maya Angelou became the godmother of hip-hop https://t.co/tdO2oaeyVj,93
593,2018-04-09 08:44:01+00:00,-0.1027,0.076,0.924,Washington Post,0.0,"Implicit racial bias causes black boys to be disciplined at school more than whites, federal report finds https://t.co/TEL1cYVNZb",94
594,2018-04-09 08:42:05+00:00,-0.6908,0.299,0.701,Washington Post,0.0,"Review: ""Gemini"" is a thin and unengaging murder mystery, set in Tinseltown https://t.co/rnMZHRfmLI",95
595,2018-04-09 08:40:04+00:00,-0.25,0.196,0.676,Washington Post,0.128,"Tired of the Smithsonian? These small, quirky museums are worth a visit. https://t.co/cT9L1xr2f3",96
596,2018-04-09 08:34:01+00:00,0.0258,0.101,0.791,Washington Post,0.108,"Even where it’s legal to sell marijuana, it’s hard to advertise it https://t.co/3QGDTdUpo4",97
597,2018-04-09 08:13:23+00:00,-0.34,0.124,0.876,Washington Post,0.0,"Under fire from Trump, Sessions taps U.S. attorney in Chicago to oversee production of documents for Congress https://t.co/TdnBPWRU5L",98
598,2018-04-09 08:10:42+00:00,-0.3612,0.238,0.762,Washington Post,0.0,"Analysis: Two Trump speeches, two dozen dubious claims https://t.co/cocaOrM5jC",99
599,2018-04-09 07:47:11+00:00,0.0,0.0,1.0,Washington Post,0.0,"Khizr Khan has more to say about Trump, the Constitution and our democracy https://t.co/sjaTrJOyU6",100
